train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
12,11,1,0,5,3,0.02504,397,-1,0.6530866622924805
12,13,1,1,5,5,0.011801,433,-1,0.7332766652107239
12,14,2,1,5,5,0.025762,434,-1,0.5712941884994507
12,15,3,1,5,5,0.032607,435,-1,0.5672635436058044
12,16,4,1,5,5,0.036856,436,-1,0.5636049509048462
12,17,5,1,5,5,0.033926,437,-1,0.5435521006584167
12,18,6,1,5,5,0.034297,438,-1,0.5654072761535645
12,19,7,1,5,5,0.03327,439,-1,0.5567525029182434
12,20,8,0,5,2,0.048227,440,-1,0.5052323341369629
12,21,9,0,5,2,0.060187,441,-1,0.5110158920288086
12,22,10,0,5,2,0.08585,442,-1,0.48637908697128296
12,23,11,0,5,6,0.095567,443,-1,0.43521544337272644
12,24,12,0,5,6,0.078309,444,-1,0.46482500433921814
12,25,13,0,5,6,0.095113,445,-1,0.4687918424606323
12,26,14,0,5,6,0.102811,446,-1,0.472891628742218
12,27,15,0,5,6,0.107705,447,-1,0.49362051486968994
12,28,16,0,5,1,0.130815,448,-1,0.4726811647415161
12,29,17,0,5,1,0.145968,449,-1,0.47247377038002014
12,30,18,0,5,1,0.144717,450,-1,0.4745590388774872
12,31,19,0,5,1,0.215614,451,-1,0.4261760413646698
12,32,20,0,5,1,0.227633,452,-1,0.41957294940948486
12,33,21,0,5,1,0.244763,453,-1,0.43296894431114197
12,34,22,0,5,4,0.231365,454,-1,0.3482278287410736
13,0,13,0,5,0,0.033541,13,-1,0.6597177982330322
13,1,12,0,5,0,0.018942,48,-1,0.6870086193084717
